opp_id,account_id,stage,amount,created_at,closed_at,won
OP-0000018,628f3b35-965f-60ad-6f60-ed0b0dbbab46,Proposal,3672.80,2025-12-21,,
OP-0000019,e2e2b6a4-5ad4-c9ee-0c97-eac951ae7077,Closed Won,2460.09,2023-11-22,2025-02-02,true
OP-0000020,babb7ee3-392b-3f6d-979d-37f92f06910a,Qualification,2795.03,2025-11-17,,
OP-0000021,c3d05af5-ad71-5eb7-bb1f-4f8e2e4619d0,Closed Lost,2333.64,2023-07-27,2024-04-20,false
OP-0000022,3a811fc0-e479-792f-aad7-10133159569c,Closed Lost,2362.07,2025-09-15,2025-10-16,false
OP-0000023,73132bf4-c56b-9e4c-e07e-ba53099c89e4,Closed Lost,97755.55,2025-06-01,2025-07-16,false
OP-0000024,4bf5209a-7044-49e7-c05e-7bb0d7584727,Closed Won,3374.30,2026-01-28,2026-05-06,true
OP-0000025,dff5473d-d207-07eb-2c13-5646cb86b938,Prospecting,1505.73,2024-01-27,,
OP-0000026,9c51afe4-355b-33ff-d9c2-292e8ea69053,Prospecting,784.64,2025-08-19,,
OP-0000027,97ad3987-a88d-657a-c643-c0d0da1f8aab,Closed Lost,703.84,2025-10-06,2025-11-07,false
OP-0000028,aa232049-97ee-cb57-dc67-fec23e155130,Closed Lost,4136.46,2026-03-03,2026-03-19,false
OP-0000029,aeda71b6-27ef-f77b-835f-cac80c1beccb,Closed Lost,516.66,2023-09-22,2025-04-29,false
OP-0000030,0b878bd8-10fd-356d-1274-8938685c664e,Closed Won,1676.10,2024-05-20,2024-10-31,true
OP-0000031,15be05b5-130f-9c07-e0ef-60575d9b608d,Negotiation,15661.40,2024-02-15,,
OP-0000032,47e4acd2-ba7a-aceb-9132-a59a2d421f96,Prospecting,1874.00,2023-06-21,,
OP-0000033,2968431a-915a-3473-0fa6-143a9c08b3f2,Qualification,1761.62,2023-07-01,,
OP-0000034,3a63aeb5-f2d6-545e-1907-356409e37433,Closed Won,6830.51,2026-02-06,2026-04-13,true
OP-0000035,4b84a0bf-4831-4887-e137-9fed904b0858,Proposal,917.41,2025-01-13,,
OP-0000036,530e5704-7243-1419-a38b-86f3ccfb460f,Prospecting,1585.83,2024-08-22,,
OP-0000037,a6ceafc6-c876-654e-3d70-5a75c780a387,Closed Won,1394.44,2025-04-26,2025-06-03,true
OP-0000038,329e5d0c-a3cf-402b-4331-031fe294c7b3,Closed Won,509.73,2023-12-07,2024-09-04,true
OP-0000039,3a17177c-b518-aaae-6a1f-ba927cab650d,Closed Lost,790.86,2026-05-10,2026-05-11,false
OP-0000040,0604c302-49ca-c436-33bf-1f09e6de2659,Closed Lost,3177.70,2024-06-29,2025-12-21,false
OP-0000041,7216fb9a-00b9-ddbb-7f0b-493b10ea8682,Closed Lost,16090.12,2025-05-15,2026-01-25,false
OP-0000042,b7d9f7cf-02c7-fb81-e6e1-bd46b95115ad,Closed Won,4523.76,2025-09-05,2026-04-02,true
OP-0000043,4222c93f-82ee-1e65-19a4-a295e55fd504,Closed Lost,4149.83,2025-12-23,2026-05-05,false
OP-0000044,0518175f-88a3-2818-8435-cc501c9d01e8,Closed Lost,9930.63,2025-11-12,2025-12-12,false
OP-0000045,09c3e452-17d6-b314-068a-48dcc05caef2,Closed Lost,1213.74,2024-06-03,2026-03-11,false
OP-0000046,cefb2312-7ebd-cb3e-6209-c70b4f1dae47,Closed Lost,3940.76,2023-07-28,2025-04-21,false
OP-0000047,fdc2d01b-ac79-0979-20e2-eaa18c359545,Closed Won,5674.12,2025-06-28,2025-11-06,true
OP-0000048,9eca4e3c-053c-66c4-07bc-dc97abaadefc,Closed Lost,593.36,2024-08-18,2025-05-17,false
OP-0000049,0dbab0e7-397c-f2c9-dd43-0ca2cece2665,Qualification,1122.58,2024-05-27,,
OP-0000050,9c943878-928e-ed22-a32f-7cac2d734a95,Closed Lost,8252.90,2025-12-25,2026-01-29,false
OP-0000051,00280562-c680-fe75-9e7f-89aa075aa4ce,Negotiation,248.48,2023-11-29,,
OP-0000052,a1b94964-e839-1c4f-ff02-d03c2609de2a,Closed Won,27529.17,2025-12-27,2026-03-15,true
OP-0000053,5c45d13b-7791-359b-4c80-bb8619173792,Closed Lost,4469.89,2024-06-27,2025-02-23,false
OP-0000054,75e8dcf2-f6df-76c3-73ae-1d23a1f45635,Closed Won,21810.70,2024-08-18,2024-08-31,true
OP-0000055,f1d7b7d5-0371-fc43-ac4d-3b756e113580,Prospecting,11224.78,2025-09-17,,
OP-0000056,380db086-0571-3862-f64a-0c4397c2e5f1,Closed Lost,1414.59,2025-05-02,2026-03-03,false
OP-0000057,a6b77f4e-13bd-a066-7bc3-a5fd85fef8b3,Closed Won,159.26,2023-07-08,2024-05-18,true
OP-0000058,adbd02db-a29b-1064-8d65-ae178cf61725,Closed Lost,1743.65,2023-06-12,2024-03-16,false
OP-0000059,44fbc27a-980d-2499-d7fe-d0b9ff410267,Prospecting,16861.97,2024-05-22,,
OP-0000060,d6d5b7b4-1d2e-5805-7512-e88f8ec851e8,Closed Lost,483.28,2025-10-10,2026-02-14,false
OP-0000061,4bc6f9e2-f5b7-18e4-a801-b23b81c25763,Negotiation,1316.91,2023-06-07,,
OP-0000062,f600e996-1ad8-142b-e6a3-fbd38f91174c,Closed Lost,1612.81,2025-05-08,2025-07-09,false
OP-0000063,ea48e63e-2291-8c88-368c-b5287d96a357,Negotiation,1508.93,2024-06-20,,
OP-0000064,45c96b17-5221-283c-6518-f9e3d7669545,Qualification,2983.98,2023-05-13,,
OP-0000065,953e928c-ebc2-c904-16d5-9d74b6c4f4b1,Prospecting,6456.40,2025-11-25,,
OP-0000066,ea33c761-9467-b816-b87a-971a44539239,Closed Lost,1943.28,2025-12-17,2026-01-19,false
OP-0000067,fb93fad9-0bb4-84ee-27be-4055a33eafe3,Closed Lost,10441.94,2024-04-15,2025-08-14,false
OP-0000068,fb906b47-8a0f-dae4-5f8b-3cc219f880f6,Closed Won,8007.69,2023-11-25,2026-03-06,true
OP-0000069,6b8d191c-de12-2aad-bd7d-b73bb0c51fd6,Closed Lost,403.26,2024-08-24,2025-11-03,false
OP-0000070,687444f2-5fa8-9d72-26fa-22d93f9570dc,Closed Won,7969.87,2025-09-07,2026-05-04,true
OP-0000071,3b25add5-b355-dad5-2279-880c622003c8,Closed Won,230.23,2023-07-27,2024-03-24,true
OP-0000072,04569f2d-6429-ac1a-54b7-b1ba9de35b07,Prospecting,2919.05,2024-11-20,,
OP-0000073,e7fea252-d50e-e3ef-b02c-0fac8b135096,Qualification,536.48,2025-12-20,,
OP-0000074,b46195c6-18b6-dfde-9f08-2b104ba50613,Closed Lost,5487.02,2024-11-21,2025-11-01,false
OP-0000075,54635ba3-bb36-6e88-95a0-2fd34e3948de,Closed Lost,13252.67,2025-11-09,2026-01-07,false
OP-0000076,0647671b-dc75-fc18-51f6-6864c6d1c008,Prospecting,987.26,2023-09-26,,
OP-0000077,67443185-99f2-dec9-df7c-ff394e203eeb,Closed Lost,2632.27,2024-03-22,2024-06-08,false
OP-0000078,ba89d197-d823-7714-02c3-31382efa8b7e,Closed Lost,13604.62,2025-11-03,2025-12-16,false
OP-0000079,8b449900-abac-edf1-9bd3-6de59f2595b8,Negotiation,6559.30,2023-05-31,,
OP-0000080,837bcc08-1283-2638-aa92-5643ca72f1c5,Closed Lost,7111.85,2025-12-20,2026-04-15,false
OP-0000081,ef328d71-8b14-842d-f0af-3fc78f5a5a28,Closed Won,2678.94,2024-12-04,2025-10-20,true
OP-0000082,ae9be785-88e6-cd2c-6510-512bd5175329,Prospecting,4748.49,2024-05-21,,
OP-0000083,3206054f-34dc-8eb6-2ca8-922f353c231a,Proposal,5847.35,2023-12-29,,
OP-0000084,693d4c78-14b6-e45c-b0f6-02a9662ba19a,Closed Lost,2009.79,2026-03-21,2026-04-30,false
OP-0000085,f20428c9-4864-3678-659f-3bf63c806110,Closed Won,1189.84,2025-03-01,2025-07-11,true
OP-0000086,b2c66eb0-3873-a99a-9308-5d447f372a1b,Closed Lost,291.82,2023-12-25,2025-03-17,false
OP-0000087,d8958491-9629-292e-91b7-93fb03abc500,Closed Lost,2109.29,2024-01-30,2025-06-01,false
OP-0000088,a919143d-1ecd-8c5c-4428-ff4b03065318,Closed Lost,40407.37,2024-12-16,2025-06-05,false
OP-0000089,5cd21e4e-b790-2cc8-5186-5efb63eae8ee,Prospecting,15543.61,2025-10-12,,
OP-0000090,393f62b8-48f9-78f8-e89a-18f3ae973940,Negotiation,4583.77,2023-09-30,,
OP-0000091,f44ec06e-5c7c-c311-a2a3-03630d3bbb12,Qualification,1508.13,2024-08-09,,
OP-0000092,e7f2ab2d-9a7f-5f88-38a3-4b96e2850571,Closed Lost,2529.35,2024-07-22,2026-01-08,false
OP-0000093,39c95860-52b8-08d3-2843-5a1136e816b1,Qualification,18986.81,2025-03-18,,
OP-0000094,38aa948b-35dc-fca4-7116-c35a6b9c8593,Closed Lost,975.13,2024-12-23,2025-12-19,false
OP-0000095,3a23a744-b119-1250-6b39-3e2dda1d89d1,Qualification,17871.42,2023-09-23,,
OP-0000096,45301971-1ffe-03de-7f82-01183b3bbc4b,Negotiation,4153.82,2026-01-23,,
OP-0000097,0b06182d-d73b-1bc0-f661-3c6fb6fd7057,Closed Lost,5969.59,2026-05-05,2026-05-11,false
OP-0000098,6c39a043-0ae3-fddb-b288-8e323974ecbb,Closed Won,535.79,2025-04-16,2025-10-30,true
OP-0000099,38508a4d-3716-8c4b-8ba1-f7ad97f7c846,Closed Lost,17947.53,2023-06-08,2025-04-04,false
OP-0000100,1aa506bc-6b1b-4266-2e7e-c0b15183d25f,Closed Won,3416.56,2023-08-20,2025-09-19,true
OP-0000101,39ba6f04-81fa-d460-9db4-b1a3d8eb1fb1,Closed Won,581.43,2025-05-30,2025-07-16,true
OP-0000102,f90ada9e-fcb2-cd65-624d-aa78a9b010f7,Negotiation,2533.28,2025-09-30,,
OP-0000103,8974adac-41d1-9614-6938-9c5baf788b0a,Closed Lost,8196.57,2025-03-04,2026-05-10,false
OP-0000104,5aaa1549-d6e8-2dfe-98d0-b089c9fbeddc,Closed Lost,1619.51,2025-12-05,2026-01-31,false
OP-0000105,ed04b4b5-e8c6-d9a6-90e1-834bc5778b4e,Closed Won,1748.97,2024-11-06,2026-03-28,true
OP-0000106,fa01d185-ef60-5084-861f-419ee4ca110d,Prospecting,14514.82,2025-01-03,,
OP-0000107,d0442a8d-1ebc-6c35-46bb-f4df9c2e4f65,Qualification,15794.67,2025-07-26,,
OP-0000108,f81d4997-757c-a1a7-aa95-97ed18998157,Closed Lost,7384.30,2025-09-11,2025-10-17,false
OP-0000109,9d9a9caf-ed9e-8a32-e570-924c4f55143c,Prospecting,3108.09,2024-10-05,,
OP-0000110,4329410c-116c-9a42-2c74-f85c69f05e04,Closed Lost,2587.78,2025-07-31,2026-02-03,false
OP-0000111,eadf9c44-ba3c-68d4-b365-c98ee6c18da3,Closed Lost,725.75,2023-09-29,2024-09-30,false
OP-0000112,b88372b3-9f33-9a73-c0b6-2d1e9a106a58,Closed Lost,1685.86,2024-03-30,2026-03-31,false
OP-0000113,98b85830-54c0-1fa6-b5f7-7248187ce6ea,Qualification,1988.40,2023-09-24,,
OP-0000114,8278ea73-2091-c7b4-69d7-7ae0c8020cfa,Closed Lost,19039.10,2024-01-21,2025-01-14,false
OP-0000115,152e67d3-0344-9a1e-a556-23250ccf2caf,Closed Lost,404.55,2026-05-09,2026-05-11,false
OP-0000116,f554cce9-9841-579d-bc3b-5921bcd91163,Prospecting,474.22,2024-05-12,,
OP-0000117,83cf1e30-17dd-5f8e-4a9a-1c42a8c80751,Qualification,5332.81,2026-04-23,,
OP-0000118,4cc6985a-1373-a02a-4f5c-bf3ac7922b59,Qualification,21943.44,2024-09-17,,
OP-0000119,d8b0949e-2fa8-4e33-ee62-4db2e26d5454,Closed Won,11990.07,2024-03-06,2024-06-09,true
OP-0000120,849d4c31-15a2-b9a6-6d7c-d22a0e65ac62,Prospecting,16911.58,2026-02-09,,
OP-0000121,532075f1-cb38-0612-8a57-d0858e7d7774,Closed Lost,1444.36,2026-04-11,2026-05-01,false
OP-0000122,a71f2fa6-4a41-aec0-7022-494d31e8a402,Closed Lost,925.16,2025-01-24,2025-08-29,false
OP-0000123,2eb4bf7c-1ab4-4b44-b4ae-9cd9bd4ee2ca,Closed Lost,33076.66,2025-08-09,2026-05-06,false
OP-0000124,e34bc9d7-3691-d6c5-7591-8c9af1faaf4e,Closed Lost,8830.03,2025-03-16,2026-03-24,false
OP-0000125,5f0c7493-7952-b017-9fc0-7c97573df3a1,Closed Lost,8890.94,2024-03-17,2025-01-14,false
OP-0000126,2ef6bbec-7222-894f-96df-4cdb2d777e3d,Closed Won,4809.29,2024-02-11,2024-04-16,true
OP-0000127,75e8dcf2-f6df-76c3-73ae-1d23a1f45635,Closed Won,73906.59,2025-12-06,2026-01-09,true
OP-0000128,778d9a48-2a26-4a65-3ea4-f1df396f0ee6,Closed Lost,1447.30,2025-06-18,2025-11-02,false
OP-0000129,73132bf4-c56b-9e4c-e07e-ba53099c89e4,Qualification,109648.42,2024-02-29,,
OP-0000130,da35b9e9-3c1b-628d-fc97-49eaa5e413a0,Prospecting,2976.18,2024-11-20,,
OP-0000131,d45fcad7-8b0a-1d00-d9e1-1f0e0647b1d3,Closed Lost,8227.89,2025-02-07,2026-01-25,false
OP-0000132,f3b45698-205f-76dd-d63d-8ca8524c1a72,Closed Lost,3822.29,2025-12-12,2026-01-13,false
OP-0000133,cbeba647-0d1b-f3a2-131f-f16da6c30e41,Closed Lost,789.10,2025-11-11,2026-02-05,false
OP-0000134,cddadaeb-009f-3807-647b-6d9be290762f,Closed Won,2614.29,2024-07-02,2024-09-15,true
OP-0000135,4cb71edc-0adf-fe8c-c724-2807afac93ba,Closed Won,299.71,2025-01-13,2026-05-06,true
OP-0000136,91f003cc-ffb0-438a-9373-a814451c336d,Prospecting,4754.26,2023-09-21,,
OP-0000137,8c751790-f0ce-a18a-a561-5202f02e138e,Closed Lost,2246.52,2025-04-21,2026-04-17,false
OP-0000138,8304f07a-fd48-2de8-f72c-9aebb65d21fb,Closed Lost,138040.59,2025-06-22,2025-09-23,false
OP-0000139,8e7b04e7-f292-2937-a7ea-d8ddb7268b78,Closed Lost,547.92,2025-12-29,2026-04-20,false
OP-0000140,73d323d5-73cb-beb2-6ad7-27bb8369b763,Negotiation,20034.75,2025-05-17,,
OP-0000141,95cbcd2a-5962-e9e5-00ef-a0bd5f75abfe,Closed Lost,60136.47,2024-05-14,2025-08-18,false
OP-0000142,691974a5-fd3b-67b4-2290-095725f53fe3,Negotiation,7022.69,2025-12-31,,
OP-0000143,3206054f-34dc-8eb6-2ca8-922f353c231a,Closed Lost,5961.13,2025-10-01,2025-10-09,false
OP-0000144,7267bb2e-d375-9c3c-d155-5d730371c237,Prospecting,2514.63,2024-04-09,,
OP-0000145,b1b6fd3d-2f6e-ba34-693f-f6a4218ba186,Closed Won,2888.08,2025-07-09,2025-10-29,true
OP-0000146,f66617ef-4321-eb1a-6078-bb5b002df807,Closed Won,4417.74,2023-08-18,2025-11-19,true
OP-0000147,a54bd8c9-ce39-f5ca-915d-3cb9e1c0d3c2,Closed Lost,17531.57,2023-05-14,2024-02-24,false
OP-0000148,016d1382-6205-c44e-8a28-0ea90d2ad339,Closed Lost,1319.16,2025-10-08,2026-01-21,false
OP-0000149,61c7e96a-ea5b-fd15-3644-45ec752a4267,Closed Lost,2264.21,2024-09-08,2026-03-01,false
OP-0000150,a2eee29c-42eb-398a-0b5e-db15d02cd902,Negotiation,5308.52,2023-07-21,,
OP-0000151,24d0a087-a7dd-f9ea-e675-dc24a83828a0,Closed Won,59090.23,2026-05-02,2026-05-09,true
OP-0000152,8e37e09d-38b4-7c0c-af0b-512006e0d530,Closed Lost,611.05,2023-11-12,2025-09-10,false
OP-0000153,2968431a-915a-3473-0fa6-143a9c08b3f2,Closed Won,910.40,2024-09-15,2026-01-21,true
OP-0000154,e1ebe169-b079-cbd4-caf1-b802ca78bfec,Proposal,5237.14,2026-02-14,,
OP-0000155,f74312fc-b031-a758-65e9-f3f876c47980,Closed Lost,23194.72,2024-09-04,2026-01-01,false
OP-0000156,7a5b43bf-b4ae-e95a-76be-6f6f25521306,Closed Lost,31014.08,2024-07-21,2026-04-23,false
OP-0000157,7de2fe9b-9c05-a4f9-0d93-0bdedf215c38,Closed Lost,1482.18,2025-03-15,2025-12-11,false
OP-0000158,dd4835d3-cb03-b422-8ecd-f4be424a6600,Closed Lost,1149.22,2025-02-16,2025-03-25,false
OP-0000159,997e1c55-31e5-b4b9-ca43-252b136753a8,Closed Won,4627.48,2024-12-15,2025-11-11,true
OP-0000160,3795f588-827a-5e71-2143-6c8f2af369f2,Proposal,8945.82,2024-01-06,,
OP-0000161,75fef2de-042d-d780-df4c-aab1dc5a87d3,Closed Lost,6993.39,2025-12-21,2026-04-20,false
OP-0000162,7dd67ab0-a437-18ed-6d37-ef1e08100134,Closed Lost,1111.23,2023-06-03,2025-10-30,false
OP-0000163,ecde9262-e4f1-8bec-6ebf-a710838a8d1f,Closed Lost,2430.53,2026-02-08,2026-02-17,false
OP-0000164,a54bd8c9-ce39-f5ca-915d-3cb9e1c0d3c2,Closed Won,9450.59,2024-07-29,2025-04-28,true
OP-0000165,72525f7f-5a67-1c6a-09e6-3bc7ee9c7269,Closed Won,5325.92,2024-08-18,2025-03-06,true
OP-0000166,e496e2ee-10a2-e083-7e80-5c2d1ba63087,Closed Won,287.43,2025-11-11,2026-03-12,true
OP-0000167,9b57ea69-d517-3c63-3e72-db256e48eafe,Closed Won,6415.58,2024-08-04,2025-09-11,true
OP-0000168,e2e9cd88-bdf4-aea5-9a80-691c69c38ea1,Closed Lost,1117.45,2025-04-18,2025-09-13,false
OP-0000169,2aa1a555-ac96-1044-e72b-4c14197dd385,Closed Lost,64750.94,2023-11-26,2025-06-07,false
OP-0000170,1d4bc394-9019-bdcc-07d8-4b353cce0bc3,Closed Lost,11981.43,2025-08-25,2026-03-22,false
OP-0000171,31c1af29-0dc5-cadb-edac-70f28ee7a2c9,Closed Won,22133.31,2023-06-03,2023-11-23,true
OP-0000172,91edd757-3207-7ac7-1ec0-84286c01159c,Closed Lost,456.10,2025-01-29,2025-08-31,false
OP-0000173,f375c9b6-fd72-2c8e-782c-c09becb0012b,Prospecting,2259.49,2023-11-27,,
OP-0000174,550db6e9-7ef1-01a9-6b00-7e7f927fb7f9,Closed Lost,5019.52,2024-12-24,2026-04-14,false
OP-0000175,9a63cb92-d846-8a08-6207-c65fe65ddec5,Closed Lost,1215.13,2026-04-23,2026-05-10,false
OP-0000176,550bd345-d813-4489-d85b-3dfb1d534ee4,Closed Won,5320.83,2025-01-23,2026-04-12,true
OP-0000177,a6d299c0-04b2-81a4-cde5-19fa6f20b396,Closed Lost,1198.44,2026-01-24,2026-05-03,false
OP-0000178,395521ce-58a9-a5a9-a2de-458699230814,Negotiation,9540.29,2023-10-22,,
OP-0000179,7aa29130-aca1-74df-8a6c-88b295208145,Closed Lost,538.80,2024-07-09,2024-07-27,false
OP-0000180,db27a033-aa43-05fd-c373-30459221aa79,Closed Lost,5667.58,2025-11-20,2026-01-14,false
OP-0000181,81a7f184-95e0-52d9-280f-6bfc2e2aceeb,Closed Lost,7142.09,2024-09-06,2025-05-08,false
OP-0000182,94e3b0e6-bec2-533c-4f6c-c78f24819854,Closed Won,4089.99,2025-11-15,2026-01-09,true
OP-0000183,6cf6e7f1-13f0-88eb-8464-f97f80a40e38,Closed Won,5453.41,2025-03-07,2025-08-25,true
OP-0000184,ccfce995-bfab-43d4-f3b3-9a2a5f5833c8,Closed Lost,2401.06,2024-06-07,2025-12-27,false
OP-0000185,2ef6bbec-7222-894f-96df-4cdb2d777e3d,Negotiation,5700.70,2023-10-15,,
OP-0000186,622f60b5-931e-4b79-a3aa-ba27716daab8,Closed Lost,8850.19,2024-06-27,2024-11-28,false
OP-0000187,c5681f6c-c427-d549-4f39-84a61dc550f0,Closed Lost,1057.08,2023-09-30,2026-02-02,false
OP-0000188,7de2fe9b-9c05-a4f9-0d93-0bdedf215c38,Closed Lost,1276.50,2024-08-13,2025-11-01,false
OP-0000189,2aa1a555-ac96-1044-e72b-4c14197dd385,Closed Lost,23462.06,2024-06-28,2026-04-29,false
OP-0000190,086419b6-bcd8-c92f-4769-5c682ee5ed5a,Closed Lost,11654.60,2025-08-26,2025-10-04,false
OP-0000191,5d4f73a7-ab39-dd7c-1df5-09c57c26c4d7,Negotiation,1605.85,2025-08-31,,
OP-0000192,433fe0e3-fb6b-2ded-d4b6-9c8e7af7e600,Closed Lost,20319.81,2024-10-20,2025-05-29,false
OP-0000193,32b58b38-dd0a-58c5-7316-3c7b31be67ed,Closed Lost,2270.11,2023-11-03,2024-07-12,false
OP-0000194,4043c4a4-ded3-8929-812f-5e04c7e934d9,Closed Lost,5741.04,2025-06-22,2026-01-04,false
OP-0000195,c4282ac8-27f2-37fb-a2a7-ba64e7b3965c,Closed Won,19687.42,2024-03-03,2026-05-10,true
OP-0000196,8682cdae-65cc-e660-e57f-bd967f026e5b,Closed Lost,6138.62,2024-08-13,2024-10-12,false
OP-0000197,ab8245d5-78ab-ab57-8c4c-812b8191edbb,Closed Lost,5645.15,2025-04-21,2026-03-23,false
OP-0000198,396e6194-ddca-96a0-0ede-8855593ac119,Closed Lost,2037.72,2024-11-02,2025-09-23,false
OP-0000199,998ff13d-729c-cfd6-57c9-a45a5f576b23,Closed Lost,14581.52,2025-11-02,2026-01-15,false
OP-0000200,633914c8-726d-f84a-6012-f95fcfb48101,Closed Lost,2721.49,2024-05-02,2025-12-18,false
OP-0000201,5287750a-b85c-7177-534f-b1dffe1b43ba,Closed Lost,8856.27,2025-05-30,2026-04-26,false
OP-0000202,211ec610-daf2-7b0c-e61c-8e17132264bc,Closed Lost,426.39,2024-12-28,2025-11-19,false
OP-0000203,3f665762-c9c5-053f-6dbd-2e603ee68217,Prospecting,3074.67,2025-02-02,,
OP-0000204,3dd23e37-7e5c-e0e4-2692-6b3c2bcfcbb3,Closed Lost,5098.84,2026-02-14,2026-04-05,false
OP-0000205,849d4c31-15a2-b9a6-6d7c-d22a0e65ac62,Closed Lost,24875.91,2024-05-14,2025-01-12,false
OP-0000206,5463db95-e7ee-f9b6-376b-256665fe6f7a,Qualification,617.83,2024-01-07,,
OP-0000207,1aa506bc-6b1b-4266-2e7e-c0b15183d25f,Closed Lost,5525.46,2024-05-18,2025-01-27,false
OP-0000208,c75405a6-982c-ea18-2b45-55b52dae4d6d,Closed Lost,207.68,2023-07-27,2024-11-17,false
OP-0000209,dfe7a0be-ac3e-0594-af0c-4545355f3d0a,Proposal,24079.24,2026-04-29,,
OP-0000210,002de9b6-d738-3236-d949-6b8be68075cc,Proposal,650.46,2023-08-10,,
OP-0000211,516afa48-6abe-0280-a833-dae4e329b337,Proposal,17408.87,2025-05-08,,
OP-0000212,8e57ce1d-07f9-b0cc-165e-6ed2381da585,Closed Lost,3305.98,2026-01-23,2026-02-03,false
OP-0000213,38ea2530-7c70-b6b4-245d-2dcb1942f437,Closed Lost,8520.08,2023-08-08,2025-02-12,false
OP-0000214,3bde0c17-7149-35d2-0484-1e8e8d51eb6f,Proposal,10748.41,2023-11-23,,
OP-0000215,e6dcfba4-bcfe-ed25-3170-2855cacb6800,Closed Won,6197.52,2024-03-25,2025-05-21,true
OP-0000216,95bb7582-8e86-7456-0cb3-7ae737bc176b,Closed Lost,1466.37,2026-01-09,2026-03-14,false
OP-0000217,ea3b0c28-465d-bdd9-b579-77931122d3a5,Closed Lost,4449.24,2024-08-28,2025-08-19,false
OP-0000218,fab3748c-cf93-eef1-2a03-153b126e2a9a,Proposal,2644.63,2024-09-26,,
OP-0000219,d6f78495-efaa-53e0-f3c9-408d795ee128,Closed Lost,2742.95,2025-02-19,2025-07-07,false
OP-0000220,07c655c8-84c2-de37-a118-fff20e32d80d,Qualification,15920.56,2026-05-09,,
OP-0000221,2aa1a555-ac96-1044-e72b-4c14197dd385,Closed Won,42338.15,2024-10-22,2025-01-22,true
OP-0000222,c7c303a9-24e4-479e-3a1e-70d9149004b4,Closed Lost,287.70,2025-01-08,2025-07-24,false
OP-0000223,ccc5c524-a983-45c9-8d72-1a695173e5cf,Prospecting,1066.92,2024-10-06,,
OP-0000224,3bbafec5-122b-582e-a233-d698d85ccf17,Closed Lost,7146.24,2025-06-25,2025-09-05,false
OP-0000225,1fd741cb-2019-5e94-e2e0-18b9df3f8ee4,Closed Lost,485.37,2024-01-29,2024-06-06,false
OP-0000226,370b2e26-ed25-c70a-7a68-c1e9ad4ed172,Closed Won,5402.93,2025-04-17,2026-04-27,true
OP-0000227,743218b0-ec89-2c9d-d8d7-17249bd8c2b4,Closed Lost,14980.56,2024-10-29,2025-05-05,false
OP-0000228,8531f8f5-13df-828e-694d-514b7167f9ae,Closed Won,6341.13,2025-12-06,2026-02-13,true
OP-0000229,e2e9cd88-bdf4-aea5-9a80-691c69c38ea1,Closed Lost,4975.14,2025-03-05,2026-03-22,false
OP-0000230,ba0bacf4-fe88-b162-a000-7af5f240f86b,Closed Lost,14192.18,2026-04-29,2026-05-08,false
OP-0000231,4f129266-4a8f-50c2-dc03-c39f9b5327af,Closed Lost,1292.67,2023-06-21,2025-03-31,false
OP-0000232,c5864363-1f42-ed76-55d1-b9e902c0b818,Closed Lost,5642.57,2023-06-05,2026-02-03,false
OP-0000233,b1a03c82-522e-9eaf-d422-a9826048f89b,Prospecting,1828.13,2023-08-24,,
OP-0000234,13bea558-1f6e-11aa-6369-9a6404297fb7,Closed Won,2203.78,2023-06-07,2024-05-10,true
